	GRAPH DATA			METHODS									
fileID	N	E	density	Flow			MTZ			Lazy			
				GAP%	Time	Z_feas	GAP%	Time	Z_feas	GAP%	Time	Z_feas	k
er-150	150	3331	0,296	6,60E-05	73	91198300	0	16	91201000	7,81E-05	61	91199100	10
er-200	200	6004	0,300	0,000263461	7815	91459300	0,000246671	7813	91461000	0,000277031	7813	91462900	10
er-250	250	9433	0,302	0,00037251	7817	91705500	0,000345144	7813	91705500	0,000433107	7814	91714200	10
er-300	300	13620	0,303	0,000616062	7818	91981900	0,000465593	7814	91970400	0,000447391	7815	91969300	10
er-400	400	24023	0,300	0,000963949	7819	92502500	0,000853654	7815	92494000	0,00136526	7877	92540900	10
er-575	575	49722	0,301	0,00349126	7817	93608900	1	11065	93547500	0,00408025	7827	93664200	10
ts225	225	7604	0,300	0	284	161276000	0	88	161276000	0	310	161276000	10
pr299	299	13532	0,303	0	204	115669000	0	88	115669000	0	330	115669000	10
rd400	400	24104	0,301	0	131	90505200	0	235	90502400	0	147	90502400	10
ab-n-100-1	100	1275	0,255	0	2	9,07E+07	0	4	90646100,000	0	0	9,06E+07	10
ab-n-100-2	100	1411	0,282	0	2	9,06E+07	0	6	90611000,000	0	0	9,06E+07	10
ab-n-100-3	100	1539	0,308	0	2	9,06E+07	0	6	90610200,000	0	1	9,06E+07	10
ab-n-100-4	100	1659	0,332	0	2	9,06E+07	0	8	9,06E+07	0	3	9,06E+07	10
ab-n-100-5	100	1771	0,354	0	2	9,06E+07	0	4	9,06E+07	0	0	9,06E+07	10
ab-n-200-1	200	4375	0,219	0	10	9,07E+07	0	17	9,07E+07	0	19	9,07E+07	10
ab-n-200-2	200	4671	0,234	0	12	9,07E+07	0	25	9,07E+07	0	42	9,07E+07	10
ab-n-200-3	200	4959	0,248	0	7	9,07E+07	0	20	9,07E+07	0	12	9,07E+07	10
ab-n-200-4	200	5239	0,262	0	9	9,07E+07	0	15	9,07E+07	0	8	9,07E+07	10
ab-n-200-5	200	5511	0,276	0	9	9,07E+07	0	11	9,07E+07	0	18	9,07E+07	10
ab-n-300-1	300	9275	0,206	0	83	9,07E+07	0	51	9,07E+07	0	31	9,07E+07	10
ab-n-300-2	300	9731	0,216	0	36	9,08E+07	0	52	9,08E+07	0	36	9,08E+07	10
ab-n-300-3	300	10179	0,226	0	32	9,07E+07	0	50	9,07E+07	0	30	9,07E+07	10
ab-n-300-4	300	10619	0,236	0	34	9,07E+07	0	72	9,07E+07	0	188	9,07E+07	10
ab-n-300-5	300	11051	0,246	0	33	9,07E+07	0	30	9,07E+07	0	31	9,07E+07	10
ab-n-400-1	400	15975	0,200	2,16E-05	867	9,08E+07	0	171	9,08E+07	0	307	9,08E+07	10
ab-n-400-2	400	16591	0,207	2,30E-05	176	9,08E+07	0	165	9,08E+07	0	434	9,08E+07	10
ab-n-400-3	400	17199	0,215	0	113	9,08E+07	0	99	9,08E+07	0	121	9,08E+07	10
ab-n-400-4	400	17799	0,222	2,21E-05	238	9,08E+07	0	281	9,08E+07	0	424	9,08E+07	10
ab-n-400-5	400	18391	0,230	1,56E-05	412	9,08E+07	0	155	9,08E+07	0	417	9,08E+07	10
bench-100-1	100	1001	0,200	0	1	9,07E+07	0	1	9,07E+07	0	0	9,07E+07	10
bench-100-2	100	948	0,190	0	1	9,07E+07	0	1	9,07E+07	0	0	9,07E+07	10
bench-100-3	100	830	0,166	2,33E-05	1	9,07E+07	3,72E-05	2	9,07E+07	1,56E-05	2	9,07E+07	10
bench-100-7	100	773	0,155	8,65E-05	1	9,07E+07	8,16E-05	1	9,07E+07	2,51E-05	2	9,07E+07	10
bench-100-8	100	800	0,160	5,19E-05	1	9,07E+07	5,19E-05	3	9,07E+07	5,78E-05	1	9,07E+07	10
bench-200-2	200	1828	0,091	3,99E-05	7	9,10E+07	6,87E-05	11	9,10E+07	4,70E-05	11	9,10E+07	10
bench-200-3	200	1840	0,092	2,82E-05	12	9,09E+07	1,61E-05	22	9,09E+07	8,96E-06	20	9,09E+07	10
bench-200-4	200	1787	0,089	6,84E-05	7	9,10E+07	2,05E-05	15	9,09E+07	2,90E-05	48	9,09E+07	10
bench-200-5	200	1763	0,088	9,82E-05	7	9,09E+07	2,49E-05	9	9,09E+07	5,19E-05	8	9,09E+07	10
bench-200-7	200	1858	0,093	4,95E-05	8	9,09E+07	3,01E-06	7	9,09E+07	0	10	9,09E+07	10
bench-300-1	300	4824	0,107	0	27	9,09E+07	0	26	9,09E+07	0	28	9,09E+07	10
bench-300-2	300	4429	0,098	3,18E-05	71	9,09E+07	1,34E-05	45	9,09E+07	5,95E-05	30	9,09E+07	10
bench-300-6	300	4860	0,108	0	25	9,09E+07	0	23	9,09E+07	0	21	9,09E+07	10
bench-300-8	300	5178	0,115	0	23	9,09E+07	0	23	9,09E+07	0	23	9,09E+07	10
